,customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age
0,1,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11,64
1,2,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,37
2,3,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15,63
3,4,Male,33,1961-10-03,,IT,Mass Customer,N,No,7,56
4,5,Female,56,1977-05-13,Senior Editor,,Affluent Customer,N,Yes,8,40
5,6,Male,35,1966-09-16,,Retail,High Net Worth,N,Yes,13,51
6,7,Female,6,1976-02-23,,Financial Services,Affluent Customer,N,Yes,11,41
7,8,Male,31,1962-03-30,Media Manager I,,Mass Customer,N,No,7,55
8,9,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,44
9,10,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20,29
10,11,Male,99,1954-04-30,,Property,Mass Customer,N,No,9,63
11,12,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,23
12,13,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8,62
13,14,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6,34
14,15,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1,17
15,16,Male,38,1977-02-27,Media Manager IV,,Mass Customer,N,Yes,18,40
16,17,Male,57,1962-03-19,Sales Associate,,Affluent Customer,N,Yes,15,55
17,18,Female,79,1967-07-06,Professor,,Affluent Customer,N,No,11,50
18,19,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1,16
19,20,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11,37
20,21,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16,37
21,22,Female,79,1962-12-10,,IT,Mass Customer,N,No,11,55
22,23,Male,43,1995-02-10,,,High Net Worth,N,Yes,1,22
23,24,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15,40
24,25,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21,41
25,26,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16,39
26,27,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12,39
27,28,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21,44
28,29,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19,49
29,30,Male,18,1961-10-18,,IT,Affluent Customer,N,Yes,6,56
30,31,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14,55
31,32,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,22
32,33,Male,44,1957-06-25,Product Engineer,,Affluent Customer,N,Yes,11,60
33,34,U,59,1977-12-21,Legal Assistant,IT,Affluent Customer,N,No,20,40
34,35,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16,54
35,36,Female,33,1977-11-09,VP Quality Control,,Affluent Customer,N,No,22,40
36,37,Female,46,1985-12-22,Social Worker,Health,High Net Worth,N,No,16,32
37,38,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20,62
38,39,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22,38
39,40,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14,36
40,41,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16,41
41,42,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18,40
42,43,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5,34
43,44,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,36
44,45,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8,42
45,46,Female,98,1972-02-26,,,Affluent Customer,N,Yes,15,45
46,47,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2,25
47,48,Female,46,1975-08-15,Biostatistician II,,Mass Customer,N,Yes,8,42
48,49,Male,63,1994-01-26,VP Quality Control,,Affluent Customer,N,No,1,23
49,50,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16,37
50,51,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18,58
51,52,Male,57,1988-06-22,,Financial Services,Mass Customer,N,Yes,13,29
52,53,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16,63
53,54,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18,51
54,55,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7,61
55,56,Male,44,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4,21
56,57,Male,87,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13,29
57,58,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17,50
58,59,Male,60,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,No,3,17
